date,hour,month,day_of_week,week_num,receipt_number,sku,details,brand_name,product_category,size,quantity,subtotal,sales_tax,total,retail_price,has_discount
2026-03-27,18,3,Friday,13,640,10006471,VINTAGE Zayre Black & W Polka Dot Top / Size M,Zayre,Top,M,1.0,32.99,3.05158,36.04158,32.99,False
2026-03-27,18,3,Friday,13,639,10004395,SamEdelman/Blk&GoldLoafer/Size8.5M,Sam Edelman,Shoes,8.5,1.0,39.99,3.69908,43.68908,39.99,False
2026-03-27,18,3,Friday,13,638,10005889,Ronni Nicole Green Cardigan / Size 1x,Ronni Nicole,Sweater/Cardigan,1,1.0,21.99,2.03408,24.02408,21.99,False
2026-03-27,17,3,Friday,13,637,10006186,beige ribbed tanktop/large/xl,Aura,Top,XL,1.0,8.99,0.83158,9.82158,8.99,False
2026-03-27,17,3,Friday,13,637,10005154,BodyCentral/ Sheer Top/ Camel/ Size M,Body Central,Top,M,1.0,15.99,1.47908,17.46908,15.99,False
2026-03-27,17,3,Friday,13,637,10002161,AC DCTee Shirt_Ne / Pink / S / 11.86,AC/DC,Top,,1.0,12.99,1.20158,14.19158,12.99,False
2026-03-27,17,3,Friday,13,636,10007128,Elana Kattau Rainbow Jumpsuit/ Size S,Elana Kattau,Romper/Jumpsuit,S,1.0,45.99,4.25408,50.24408,45.99,False
2026-03-27,17,3,Friday,13,635,10003705,Crm & Bronze Belt/Size S,Unknown,Accessories,S,1.0,9.99,0.92408,10.91408,9.99,True
2026-03-27,16,3,Friday,13,634,10006376,Brown Leather Belt Brass Buckle,Unknown,Top,,1.0,18.99,1.75658,20.74658,18.99,False
2026-03-27,16,3,Friday,13,633,10003950,12th Tribe White Sequin Jacket / Size M,12th Tribe,Jacket/Coat,M,1.0,69.99,6.47408,76.46408,69.99,False
2026-03-27,16,3,Friday,13,632,10007080,Allegria Red Sling Backs/Size7-7.5,Allegria,Other,7,1.0,35.99,3.32908,39.31908,35.99,False
2026-03-27,16,3,Friday,13,632,10005918,Persaman Pink & Yellow Skirt / Size 10,Persaman,Skirt,10,1.0,38.99,3.60658,42.59658,38.99,False
2026-03-27,16,3,Friday,13,631,10007087,August Animal Print Hat,August,Accessories,,1.0,15.99,1.47908,17.46908,15.99,False
2026-03-27,16,3,Friday,13,631,10004168,Lace Long Tunic Apricot/Size L,Unknown,Other,L,1.0,35.99,3.32908,39.31908,35.99,False
2026-03-27,16,3,Friday,13,631,10003996,Wood Flower Earrings,,Accessories,,1.0,8.5,0.78625,9.28625,8.5,False
2026-03-27,16,3,Friday,13,630,10007316,Metalpurse,,Accessories,,1.0,45.99,4.25408,50.24408,45.99,False
2026-03-27,15,3,Friday,13,629,10005030,J.Crew/ Wrap Blouse/Grn/Size M,J.Crew,Top,M,1.0,25.99,2.40408,28.39408,25.99,False
2026-03-27,15,3,Friday,13,628,10003912,InnerMost Ppl Slip/Size S,Inner Most,Other,S,1.0,15.99,1.47908,17.46908,15.99,False
2026-03-27,15,3,Friday,13,628,10006019,Moda/PurplaceTop/SizeXS,Moda,Other,XS,1.0,28.99,2.68158,31.67158,28.99,False
2026-03-27,14,3,Friday,13,627,10002363,J CrewSkirt_vi / Black and Pink / M / 12.87,J Crew,Skirt,,1.0,29.99,2.77408,32.76408,29.99,False
