receipt_number,date,day_of_week,month,basket_size,order_subtotal,order_total,basket_category
511,2026-05-16,Saturday,5,4,62.96,68.78,4–5 items
512,2026-05-16,Saturday,5,4,91.96,100.47,4–5 items
513,2026-05-16,Saturday,5,2,25.98,28.38,2 items
514,2026-05-16,Saturday,5,3,246.98,269.83,3 items
515,2026-05-16,Saturday,5,2,62.98,68.81,2 items
516,2026-05-17,Sunday,5,2,52.98,57.88,2 items
517,2026-05-17,Sunday,5,3,70.98,77.55,3 items
518,2026-05-17,Sunday,5,4,56.96,62.23,4–5 items
519,2026-05-17,Sunday,5,2,41.98,45.86,2 items
520,2026-05-17,Sunday,5,5,117.95,128.86,4–5 items
521,2026-05-17,Sunday,5,14,416.86,455.42,6+ items
522,2026-05-17,Sunday,5,3,72.97,79.72,3 items
523,2026-05-17,Sunday,5,11,300.89,328.72,6+ items
524,2026-05-17,Sunday,5,5,132.95,145.25,4–5 items
525,2026-05-17,Sunday,5,6,205.95,225.0,6+ items
526,2026-05-17,Sunday,5,6,168.94,184.57,6+ items
527,2026-05-17,Sunday,5,5,96.95,105.92,4–5 items
528,2026-05-17,Sunday,5,2,45.98,50.23,2 items
529,2026-05-17,Sunday,5,6,123.94,135.4,6+ items
530,2026-05-17,Sunday,5,2,84.98,92.84,2 items
531,2026-05-17,Sunday,5,3,82.97,90.64,3 items
532,2026-05-17,Sunday,5,5,127.95,139.79,4–5 items
533,2026-05-17,Sunday,5,4,209.97,229.39,4–5 items
534,2026-05-17,Sunday,5,3,83.97,91.74,3 items
535,2026-05-17,Sunday,5,3,130.97,143.08,3 items
536,2026-05-17,Sunday,5,6,205.94,224.99,6+ items
537,2026-05-17,Sunday,5,3,73.97,80.81,3 items
538,2026-05-17,Sunday,5,3,262.98,287.31,3 items
539,2026-05-17,Sunday,5,2,38.99,42.6,2 items
540,2026-05-17,Sunday,5,3,61.97,67.7,3 items
541,2026-05-17,Sunday,5,2,240.99,263.28,2 items
542,2026-05-20,Wednesday,5,4,59.96,65.51,4–5 items
543,2026-05-20,Wednesday,5,4,91.96,100.47,4–5 items
544,2026-05-20,Wednesday,5,2,53.98,58.97,2 items
545,2026-05-20,Wednesday,5,10,239.9,262.09,6+ items
546,2026-05-21,Thursday,5,3,184.98,202.09,3 items
547,2026-05-21,Thursday,5,2,55.98,61.16,2 items
548,2026-05-21,Thursday,5,3,89.97,98.29,3 items
549,2026-05-22,Friday,5,7,169.96,185.68,6+ items
550,2026-05-22,Friday,5,4,87.96,96.1,4–5 items
551,2026-05-22,Friday,5,3,64.97,70.98,3 items
552,2026-05-22,Friday,5,5,111.95,122.31,4–5 items
553,2026-05-22,Friday,5,3,165.98,181.33,3 items
554,2026-05-22,Friday,5,7,175.94,192.21,6+ items
555,2026-05-22,Friday,5,3,56.98,62.25,3 items
556,2026-05-22,Friday,5,2,40.98,44.77,2 items
557,2026-05-22,Friday,5,8,159.93,174.72,6+ items
