Product,SKU,Supplier Code,Brand,Supplier,Category,Tag,Closing Inventory,Revenue,Inventory Cost
Ann Taylor NWTBlazer_Ca,10000324,,Ann Taylor NWT,,,,1,0,0
Ann Taylor Nude Camisole M,10008517,,,,,,1,0,10.95
Ann Taylor Orange & Pink SL Top / Size S,10005501,,Ann Taylor,,,,1,0,0
Ann Taylor Pants Herringbone,10004100,,Ann Taylor,,,,1,0,0
Ann Taylor Purple Ombre Cardigan / Size S,10003770,,Ann Taylor Loft,,,,1,0,0
Ann Taylor Purple Ruffle Tank / Size LP,10005610,,Ann Taylor Loft,,,,1,0,0
Ann Taylor Purple SS Top / Size XL,10006534,,Ann Taylor,,,,1,0,0
Ann Taylor Purple Top XL,10008652,,,,,,1,0,4.5
Ann Taylor Red Purse,10007453,,Ann Taylor,,,,0,19.99,0
Ann Taylor Skirt Black & White Size 6,10003501,,Ann Taylor,,,,1,0,12
Ann Taylor Sleeveless Top XS,10008519,,,,,,1,0,10.95
Ann Taylor White LS / Size S,10006972,,Ann Taylor,,,,0,17.99,0
Ann Taylor White SL Long Dress / Size 6,10007114,,Ann Taylor,,,,0,25.99,0
Ann Taylor Yellow Sleeveless M,10008032,,,,,,1,0,7.25
Ann Taylor Yellow/White Top S,10008470,,,,,,0,24.99,0
Ann TaylorJacket_La,10002784,,Ann Taylor,,,,0,39.99,0
Ann TaylorLS Top_Al,10000402,,Ann Taylor,,,,1,0,0
Ann TaylorPants_Ay,10004019,,Ann Taylor,,,,1,0,0
Ann TaylorSS Top_Ja,10002723,,Ann Taylor,,,,1,0,0
Ann TaylorSkirt_Ex,10001483,,Ann Taylor,,,,0,0,0
Ann TaylorSweater_Am,10000098,,Ann Taylor,,,,1,0,0
AnnT/BlkAnimalBlouse/SizeS,10004368,,Ann Taylor,,,,1,0,0
AnnT/BlkGreyPant/Size4,10003591,,Ann Taylor,,,,0,28.99,0
AnnTLoft/GreyTop/SizeXS,10004367,,Ann Taylor Loft,,,,1,0,0
AnnTLoft/Yellow&GrnTop/SizeMP,10005418,,Ann Taylor Loft,,,,0,18.99,0
AnnTaylor Black Animal Print Skirt/ Size 2,10004354,,Ann Taylor,,,,1,0,0
AnnTaylor/ LeafPrint Top/ Grn/ Size M,10005071,,Ann Taylor,,,,0,17.99,0
AnnTaylor/ Slvless Top/ Pink/ Size M,10005055,,Ann Taylor,,,,1,0,0
AnnTaylor/BlkBttnDwnDress/Size8,10006133,,Ann Taylor,,,,0,24.33395,0
AnnTaylor/BrwnFloralTop/Size14,10008358,,Ann Taylor,,,,1,0,0
AnnTaylor/Pink&WhiLaceTop/Size10,10004935,,Ann Taylor,,,,0,21.99,0
AnnTaylor/PinkSleevlessTop/SizeSP,10005302,,Ann Taylor,,,,1,0,0
AnnTaylor/PnkPurpSkirt/Size8,10006122,,Ann Taylor,,,,1,0,0
AnnTaylor/Red&WhiFloralSkirt/Size4,10004870,,Ann Taylor,,,,0,24.99,0
AnnTaylor/RedTop/SizeM,10006107,,Ann Taylor,,,,1,0,0
AnnTaylorP/BlkDottedSkirt/Size8p,10007754,,Ann Taylor Petites,,,,1,0,0
Anna Sui Black Detail Skirt / Size 8,10008013,,Anna Sui,,,,1,0,8.25
Anna-Kaci Blk Sequin Top/Size XL,10003968,,Anna-Kaci,,,,1,0,0
Anne Klein Black Sleeveless Dress / Size 12,10004618,,Anne Klein,,,,1,0,0
